Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label
163.53.78.51-172.17.237.22-443-48066-6,163.53.78.51,443,172.17.237.22,48066,6,22-12-21 13:03,9,Normal
172.17.237.22-52.4.194.209-45672-443-6,52.4.194.209,443,172.17.237.22,45672,6,22-12-21 13:03,12,Normal
172.17.237.22-52.4.194.209-45672-443-6,172.17.237.22,45672,52.4.194.209,443,6,22-12-21 13:03,184,Normal
172.17.237.22-18.141.21.165-42640-443-6,18.141.21.165,443,172.17.237.22,42640,6,22-12-21 13:04,8,Normal
172.17.237.22-18.213.10.151-37034-443-6,18.213.10.151,443,172.17.237.22,37034,6,22-12-21 13:04,9,Normal
172.17.237.22-18.213.10.151-37034-443-6,172.17.237.22,37034,18.213.10.151,443,6,22-12-21 13:04,276,Normal
172.17.237.22-54.254.11.117-56424-443-6,54.254.11.117,443,172.17.237.22,56424,6,22-12-21 13:04,12,Normal
172.17.237.22-54.187.11.183-59804-443-6,54.187.11.183,443,172.17.237.22,59804,6,22-12-21 13:04,12,Normal
172.17.237.22-54.187.11.183-59804-443-6,172.17.237.22,59804,54.187.11.183,443,6,22-12-21 13:04,274,Normal
172.17.237.22-52.76.187.17-47524-443-6,52.76.187.17,443,172.17.237.22,47524,6,22-12-21 13:04,11,Normal
172.17.237.22-52.76.187.17-47524-443-6,172.17.237.22,47524,52.76.187.17,443,6,22-12-21 13:04,198,Normal
172.17.237.22-18.140.144.198-57632-443-6,18.140.144.198,443,172.17.237.22,57632,6,22-12-21 13:04,5016189,Normal
172.17.237.22-52.114.32.187-56210-443-6,172.17.237.22,56210,52.114.32.187,443,6,22-12-21 13:04,6655906,Normal
172.17.237.22-35.213.12.39-49406-443-6,35.213.12.39,443,172.17.237.22,49406,6,22-12-21 13:04,8,Normal
172.17.237.22-23.32.177.106-58562-443-6,172.17.237.22,58562,23.32.177.106,443,6,22-12-21 13:04,7168099,Normal
172.17.237.22-23.32.177.106-58568-443-6,172.17.237.22,58568,23.32.177.106,443,6,22-12-21 13:04,7168120,Normal
172.17.237.22-23.32.177.106-58560-443-6,172.17.237.22,58560,23.32.177.106,443,6,22-12-21 13:04,7168135,Normal
172.17.237.22-23.32.177.106-58566-443-6,172.17.237.22,58566,23.32.177.106,443,6,22-12-21 13:04,7168150,Normal
172.17.237.22-23.32.177.106-58564-443-6,172.17.237.22,58564,23.32.177.106,443,6,22-12-21 13:04,7168165,Normal
172.17.237.22-23.32.177.106-58558-443-6,172.17.237.22,58558,23.32.177.106,443,6,22-12-21 13:04,7168184,Normal
172.17.237.22-54.175.36.162-53438-443-6,54.175.36.162,443,172.17.237.22,53438,6,22-12-21 13:04,11,Normal
172.17.237.22-54.175.36.162-53438-443-6,172.17.237.22,53438,54.175.36.162,443,6,22-12-21 13:04,729,Normal
172.17.237.22-3.109.226.68-57544-443-6,172.17.237.22,57544,3.109.226.68,443,6,22-12-21 13:04,14134033,Normal
172.17.237.22-3.114.95.219-35180-443-6,172.17.237.22,35180,3.114.95.219,443,6,22-12-21 13:04,15161473,Normal
172.17.237.22-104.208.16.88-52044-443-6,172.17.237.22,52044,104.208.16.88,443,6,22-12-21 13:04,18884034,Normal
172.17.237.22-13.107.3.128-43938-443-6,172.17.237.22,43938,13.107.3.128,443,6,22-12-21 13:04,19619972,Normal
172.17.237.22-13.107.246.68-48900-443-6,172.17.237.22,48900,13.107.246.68,443,6,22-12-21 13:04,19620007,Normal
172.17.237.22-13.107.246.68-48904-443-6,172.17.237.22,48904,13.107.246.68,443,6,22-12-21 13:04,19620104,Normal
172.17.237.22-40.77.226.250-36892-443-6,172.17.237.22,36892,40.77.226.250,443,6,22-12-21 13:04,19236289,Normal
172.17.237.22-13.76.0.227-56870-443-6,172.17.237.22,56870,13.76.0.227,443,6,22-12-21 13:04,76418631,Normal
172.17.237.22-13.77.92.139-57502-443-6,172.17.237.22,57502,13.77.92.139,443,6,22-12-21 13:04,79758743,Normal
172.17.237.22-40.126.17.135-58378-443-6,172.17.237.22,58378,40.126.17.135,443,6,22-12-21 13:04,80360282,Normal
172.17.237.22-52.113.194.133-38098-443-6,172.17.237.22,38098,52.113.194.133,443,6,22-12-21 13:04,83827742,Normal
172.17.237.22-13.107.3.128-43958-443-6,172.17.237.22,43958,13.107.3.128,443,6,22-12-21 13:04,81515680,Normal
168.63.15.132-172.17.237.22-443-49628-6,172.17.237.22,49628,168.63.15.132,443,6,22-12-21 13:04,80213330,Normal
172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746,20.189.173.6,443,6,22-12-21 13:04,79515667,Normal
172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890,13.76.153.29,443,6,22-12-21 13:04,81125472,Normal
172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974,52.163.231.110,443,6,22-12-21 13:04,82663234,Normal
172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504,40.74.219.49,443,6,22-12-21 13:04,79798614,Normal
172.17.237.22-13.107.42.16-44830-443-6,172.17.237.22,44830,13.107.42.16,443,6,22-12-21 13:04,81742387,Normal
172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048,52.159.49.199,443,6,22-12-21 13:04,80368869,Normal
172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764,20.189.173.6,443,6,22-12-21 13:04,82140540,Normal
172.17.237.22-13.76.153.29-36898-443-6,172.17.237.22,36898,13.76.153.29,443,6,22-12-21 13:04,119989826,Normal
172.217.166.14-172.17.237.22-443-33731-17,172.17.237.22,33731,172.217.166.14,443,17,22-12-21 13:04,110281050,Normal
142.250.206.174-172.17.237.22-443-40953-17,172.17.237.22,40953,142.250.206.174,443,17,22-12-21 13:04,117396583,Normal
172.17.237.22-34.246.125.123-51842-443-6,172.17.237.22,51842,34.246.125.123,443,6,22-12-21 13:04,94247845,Normal
172.17.172.3-172.17.237.20-53-53-17,172.17.172.3,53,172.17.237.20,53,17,22-12-21 13:04,115066610,Normal
172.17.237.22-23.32.176.15-54954-443-6,172.17.237.22,54954,23.32.176.15,443,6,22-12-21 13:04,90112349,Normal
172.17.237.22-52.95.114.193-60696-443-6,172.17.237.22,60696,52.95.114.193,443,6,22-12-21 13:04,90112355,Normal
172.17.237.22-52.95.115.196-35908-443-6,172.17.237.22,35908,52.95.115.196,443,6,22-12-21 13:04,90113848,Normal
172.17.237.22-172.67.13.182-36334-443-6,172.17.237.22,36334,172.67.13.182,443,6,22-12-21 13:04,90113848,Normal
172.17.237.22-52.95.127.127-46684-443-6,172.17.237.22,46684,52.95.127.127,443,6,22-12-21 13:04,91137856,Normal
172.17.237.22-104.244.42.3-54314-443-6,172.17.237.22,54314,104.244.42.3,443,6,22-12-21 13:04,90112300,Normal
172.17.237.22-54.239.35.28-51482-443-6,172.17.237.22,51482,54.239.35.28,443,6,22-12-21 13:04,90112396,Normal
172.17.237.22-69.173.158.64-35166-443-6,172.17.237.22,35166,69.173.158.64,443,6,22-12-21 13:04,90112387,Normal
172.17.237.22-52.159.49.199-59046-443-6,172.17.237.22,59046,52.159.49.199,443,6,22-12-21 13:04,104448361,Normal
172.17.237.22-52.159.49.199-59044-443-6,172.17.237.22,59044,52.159.49.199,443,6,22-12-21 13:04,107458253,Normal
172.17.237.43-239.255.255.250-49229-1900-17,172.17.237.43,49229,239.255.255.250,1900,17,22-12-21 13:04,612458,Normal
172.17.237.22-239.255.255.250-34264-1900-17,172.17.237.22,34264,239.255.255.250,1900,17,22-12-21 13:04,1000855,Normal
172.17.237.22-18.141.21.165-42640-443-6,172.17.237.22,42640,18.141.21.165,443,6,22-12-21 13:04,10726231,Normal
172.17.237.22-35.213.12.39-49406-443-6,172.17.237.22,49406,35.213.12.39,443,6,22-12-21 13:04,4470435,Normal
172.17.237.22-18.140.144.198-57632-443-6,172.17.237.22,57632,18.140.144.198,443,6,22-12-21 13:04,4984771,Normal
172.217.167.202-172.17.237.22-443-50491-17,172.17.237.22,50491,172.217.167.202,443,17,22-12-21 13:04,119668252,Normal
172.17.237.22-54.254.11.117-56424-443-6,172.17.237.22,56424,54.254.11.117,443,6,22-12-21 13:04,436,Normal
163.53.78.51-172.17.237.22-443-48066-6,172.17.237.22,48066,163.53.78.51,443,6,22-12-21 13:04,11916485,Normal
172.17.237.33-239.255.255.250-49859-1900-17,172.17.237.33,49859,239.255.255.250,1900,17,22-12-21 13:04,3023181,Normal
142.250.194.129-172.17.237.22-443-36362-6,172.17.237.22,36362,142.250.194.129,443,6,22-12-21 13:05,367,Normal
172.17.237.22-172.67.14.139-55376-443-6,172.17.237.22,55376,172.67.14.139,443,6,22-12-21 13:05,287,Normal
172.17.237.22-69.173.158.65-38814-443-6,172.17.237.22,38814,69.173.158.65,443,6,22-12-21 13:05,417,Normal
172.17.237.22-35.190.60.146-54816-443-6,172.17.237.22,54816,35.190.60.146,443,6,22-12-21 13:05,257,Normal
172.17.237.22-35.190.60.146-54818-443-6,172.17.237.22,54818,35.190.60.146,443,6,22-12-21 13:05,460,Normal
172.17.237.22-104.18.101.194-34930-443-6,172.17.237.22,34930,104.18.101.194,443,6,22-12-21 13:05,301,Normal
172.17.237.22-13.35.191.104-43462-443-6,172.17.237.22,43462,13.35.191.104,443,6,22-12-21 13:05,329,Normal
172.17.237.22-99.86.47.200-54526-443-6,172.17.237.22,54526,99.86.47.200,443,6,22-12-21 13:05,433,Normal
132.148.80.84-172.17.237.22-443-38970-6,172.17.237.22,38970,132.148.80.84,443,6,22-12-21 13:05,303,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-21 13:05,206943,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-21 13:05,207357,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-21 13:05,207604,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-21 13:05,435993,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-21 13:05,436016,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-21 13:05,436039,Normal
172.17.237.22-52.119.187.0-50858-443-6,52.119.187.0,443,172.17.237.22,50858,6,22-12-21 13:05,3,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-21 13:05,1663914,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-21 13:05,1663925,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-21 13:05,1663941,Normal
172.17.237.22-3.109.226.68-57544-443-6,172.17.237.22,57544,3.109.226.68,443,6,22-12-21 13:05,193,Normal
172.17.237.22-3.114.95.219-35180-443-6,172.17.237.22,35180,3.114.95.219,443,6,22-12-21 13:05,283,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-21 13:05,6655860,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-21 13:05,6655880,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-21 13:05,6655900,Normal
172.17.237.22-20.88.207.242-42476-443-6,172.17.237.22,42476,20.88.207.242,443,6,22-12-21 13:05,8334252,Normal
172.17.237.22-20.88.207.242-42476-443-6,172.17.237.22,42476,20.88.207.242,443,6,22-12-21 13:05,582,Normal
172.17.237.22-52.114.32.187-56210-443-6,172.17.237.22,56210,52.114.32.187,443,6,22-12-21 13:05,27903848,Normal
172.17.237.22-23.32.177.106-58562-443-6,172.17.237.22,58562,23.32.177.106,443,6,22-12-21 13:05,28159967,Normal
172.17.237.22-23.32.177.106-58568-443-6,172.17.237.22,58568,23.32.177.106,443,6,22-12-21 13:05,28159991,Normal
172.17.237.22-23.32.177.106-58560-443-6,172.17.237.22,58560,23.32.177.106,443,6,22-12-21 13:05,28160010,Normal
172.17.237.22-23.32.177.106-58566-443-6,172.17.237.22,58566,23.32.177.106,443,6,22-12-21 13:05,28160028,Normal
172.17.237.22-23.32.177.106-58564-443-6,172.17.237.22,58564,23.32.177.106,443,6,22-12-21 13:05,28160055,Normal
172.17.237.22-103.229.205.243-46662-443-6,172.17.237.22,46662,103.229.205.243,443,6,22-12-21 13:05,18848750,Normal
172.17.237.22-23.32.177.106-58558-443-6,172.17.237.22,58558,23.32.177.106,443,6,22-12-21 13:05,29952005,Normal
132.148.80.84-172.17.237.22-443-38902-6,172.17.237.22,38902,132.148.80.84,443,6,22-12-21 13:05,31205992,Normal
132.148.80.84-172.17.237.22-443-38904-6,172.17.237.22,38904,132.148.80.84,443,6,22-12-21 13:05,31209168,Normal
172.17.237.22-103.43.90.54-41252-443-6,172.17.237.22,41252,103.43.90.54,443,6,22-12-21 13:05,28160142,Normal
172.17.237.22-104.254.148.166-41766-443-6,172.17.237.22,41766,104.254.148.166,443,6,22-12-21 13:05,28160163,Normal
172.17.237.22-104.254.149.101-44500-443-6,172.17.237.22,44500,104.254.149.101,443,6,22-12-21 13:05,28160183,Normal
132.148.80.84-172.17.237.22-443-38902-6,172.17.237.22,38902,132.148.80.84,443,6,22-12-21 13:05,4558983,Normal
132.148.80.84-172.17.237.22-443-38904-6,172.17.237.22,38904,132.148.80.84,443,6,22-12-21 13:05,4555002,Normal
172.17.237.22-52.46.154.242-49078-443-6,172.17.237.22,49078,52.46.154.242,443,6,22-12-21 13:05,59356242,Normal
172.17.237.22-74.125.200.188-35868-5228-6,74.125.200.188,5228,172.17.237.22,35868,6,22-12-21 13:05,99105230,Normal
172.17.237.22-44.194.49.161-54574-443-6,172.17.237.22,54574,44.194.49.161,443,6,22-12-21 13:05,75287730,Normal
172.17.237.43-224.0.0.251-5353-5353-17,172.17.237.43,5353,224.0.0.251,5353,17,22-12-21 13:05,118735520,Normal
172.17.237.42-224.0.0.251-5353-5353-17,172.17.237.42,5353,224.0.0.251,5353,17,22-12-21 13:05,40057888,Normal
172.17.237.22-20.42.73.24-51354-443-6,172.17.237.22,51354,20.42.73.24,443,6,22-12-21 13:05,102289989,Normal
142.250.206.165-172.17.237.22-443-50770-6,172.17.237.22,50770,142.250.206.165,443,6,22-12-21 13:05,90112413,Normal
142.250.206.165-172.17.237.22-443-50784-6,172.17.237.22,50784,142.250.206.165,443,6,22-12-21 13:05,90112415,Normal
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,22-12-21 13:05,109220443,Normal
142.250.194.14-172.17.237.22-443-48798-6,172.17.237.22,48798,142.250.194.14,443,6,22-12-21 13:05,90112554,Normal
172.17.237.22-69.173.158.65-38842-443-6,172.17.237.22,38842,69.173.158.65,443,6,22-12-21 13:05,90112327,Normal
172.17.237.22-103.231.98.193-54076-443-6,172.17.237.22,54076,103.231.98.193,443,6,22-12-21 13:05,90112334,Normal
172.17.237.22-74.125.24.155-34418-443-6,172.17.237.22,34418,74.125.24.155,443,6,22-12-21 13:05,90112514,Normal
172.17.237.22-35.227.252.103-56168-443-6,172.17.237.22,56168,35.227.252.103,443,6,22-12-21 13:05,90112497,Normal
142.250.194.142-172.17.237.22-443-39848-6,172.17.237.22,39848,142.250.194.142,443,6,22-12-21 13:05,90112500,Normal
172.17.237.22-103.231.98.201-56280-443-6,172.17.237.22,56280,103.231.98.201,443,6,22-12-21 13:05,90112509,Normal
172.17.237.22-199.232.253.16-33484-443-6,172.17.237.22,33484,199.232.253.16,443,6,22-12-21 13:05,114417897,Normal
172.17.237.22-74.125.136.94-37526-443-6,172.17.237.22,37526,74.125.136.94,443,6,22-12-21 13:05,90112410,Normal
172.17.237.22-23.32.176.15-54964-443-6,172.17.237.22,54964,23.32.176.15,443,6,22-12-21 13:05,119039253,Normal
142.250.193.65-172.17.237.22-443-47244-6,172.17.237.22,47244,142.250.193.65,443,6,22-12-21 13:05,90112207,Normal
172.17.237.22-13.35.191.104-43468-443-6,172.17.237.22,43468,13.35.191.104,443,6,22-12-21 13:05,90112199,Normal
172.17.237.22-13.35.218.125-49474-443-6,172.17.237.22,49474,13.35.218.125,443,6,22-12-21 13:05,90112533,Normal
172.17.237.22-23.32.177.30-35740-443-6,172.17.237.22,35740,23.32.177.30,443,6,22-12-21 13:05,90112221,Normal
172.17.237.22-23.32.177.30-35848-443-6,172.17.237.22,35848,23.32.177.30,443,6,22-12-21 13:05,90112495,Normal
172.17.237.22-54.239.36.190-59126-443-6,172.17.237.22,59126,54.239.36.190,443,6,22-12-21 13:05,90112226,Normal
172.17.237.22-23.32.177.30-35852-443-6,172.17.237.22,35852,23.32.177.30,443,6,22-12-21 13:05,90112502,Normal
172.17.237.22-69.173.158.64-35762-443-6,172.17.237.22,35762,69.173.158.64,443,6,22-12-21 13:05,90112335,Normal
142.250.192.197-172.17.237.22-443-48074-6,172.17.237.22,48074,142.250.192.197,443,6,22-12-21 13:05,106051402,Normal
172.17.237.22-35.186.220.184-42258-443-6,172.17.237.22,42258,35.186.220.184,443,6,22-12-21 13:05,90116147,Normal
172.17.172.200-172.17.237.20-53-53-17,172.17.172.200,53,172.17.237.20,53,17,22-12-21 13:05,119682551,Normal
172.17.237.22-35.190.90.30-39384-443-6,172.17.237.22,39384,35.190.90.30,443,6,22-12-21 13:05,108390952,Normal
172.17.237.22-103.231.98.196-32932-443-6,172.17.237.22,32932,103.231.98.196,443,6,22-12-21 13:05,106471188,Normal
172.17.237.22-23.32.177.30-35850-443-6,172.17.237.22,35850,23.32.177.30,443,6,22-12-21 13:05,104713876,Normal
172.17.237.22-35.241.40.233-34834-443-6,172.17.237.22,34834,35.241.40.233,443,6,22-12-21 13:05,107069975,Normal
172.17.237.22-54.239.32.175-33820-443-6,172.17.237.22,33820,54.239.32.175,443,6,22-12-21 13:05,106892854,Normal
245.129.128.0-0.8.0.0-0-0-0,0.8.0.0,0,245.129.128.0,0,0,22-12-21 13:05,90711004,Normal
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,22-12-21 13:05,9327838,Normal
172.17.237.12-224.0.0.251-5353-5353-17,172.17.237.12,5353,224.0.0.251,5353,17,22-12-21 13:05,36501476,Normal
172.17.237.43-239.255.255.250-50524-1900-17,172.17.237.43,50524,239.255.255.250,1900,17,22-12-21 13:05,629874,Normal
142.250.192.195-172.17.237.22-443-50085-17,172.17.237.22,50085,142.250.192.195,443,17,22-12-21 13:05,243290,Normal
172.17.237.43-239.255.255.250-39797-1900-17,172.17.237.43,39797,239.255.255.250,1900,17,22-12-21 13:05,600926,Normal
172.17.237.22-13.107.246.68-48900-443-6,13.107.246.68,443,172.17.237.22,48900,6,22-12-21 13:05,16,Normal
172.17.237.21-239.255.255.250-61847-1900-17,172.17.237.21,61847,239.255.255.250,1900,17,22-12-21 13:05,3002133,Normal
172.17.237.22-13.107.246.68-48904-443-6,13.107.246.68,443,172.17.237.22,48904,6,22-12-21 13:05,20,Normal
172.17.237.22-103.229.205.243-46662-443-6,172.17.237.22,46662,103.229.205.243,443,6,22-12-21 13:05,13003452,Normal
142.250.192.195-172.17.237.22-443-55001-17,172.17.237.22,55001,142.250.192.195,443,17,22-12-21 13:05,283333,Normal
172.17.237.43-239.255.255.250-44638-1900-17,172.17.237.43,44638,239.255.255.250,1900,17,22-12-21 13:05,608912,Normal
172.17.237.22-104.208.16.88-52044-443-6,104.208.16.88,443,172.17.237.22,52044,6,22-12-21 13:05,26,Normal
172.17.237.22-8.8.8.8-47885-53-17,172.17.237.22,47885,8.8.8.8,53,17,22-12-21 13:05,69170,Normal
172.17.237.22-40.77.226.250-36892-443-6,40.77.226.250,443,172.17.237.22,36892,6,22-12-21 13:05,25,Normal
172.17.237.22-8.8.8.8-39782-53-17,172.17.237.22,39782,8.8.8.8,53,17,22-12-21 13:05,66190,Normal
